Date,Minimum Temperature (C),Maximum Temperature (C),Rainfall (mm),Sunshine (hours),Relative Humidity (%),Cloud Cover (oktas),Wind Direction,Wind Speed (km/h),Maximum Wind Gust (km/h),MSL Pressure (hPa)
01/02/2019,-6.8,30.4,33.1,6.7,22,4,NW,5,38,1011.3
02/02/2019,9.4,28.6,11.4,9.9,9,7,S,6,53,1002.1
03/02/2019,-37.5,49.7,48.0,5.6,42,7,S,17,37,1014.8
04/02/2019,-35.1,27.1,35.2,6.1,53,5,NW,29,38,1030.0
05/02/2019,19.1,32.7,51.0,6.7,34,0,WNW,23,58,1024.7
06/02/2019,-3.7,38.0,20.7,5.1,36,1,NE,23,52,1026.5
07/02/2019,-16.0,48.5,49.7,7.3,38,1,W,14,57,1013.0
08/02/2019,-6.8,36.4,17.2,12.9,62,5,ENE,14,52,1020.1
09/02/2019,21.5,37.3,19.5,12.2,15,3,E,25,54,1003.2
10/02/2019,18.8,49.5,17.3,12.1,53,0,WSW,21,43,1022.1
11/02/2019,7.6,32.8,18.7,9.4,53,4,SSW,18,54,1015.9
12/02/2019,-4.4,44.0,48.5,10.5,52,3,E,3,47,1028.1
13/02/2019,-39.8,33.6,14.0,7.1,11,0,NNE,6,60,1017.9
14/02/2019,-26.9,42.7,20.0,5.6,47,2,WNW,26,34,1006.2
15/02/2019,-38.8,35.2,16.7,10.6,47,2,NW,1,31,1002.4
16/02/2019,-37.7,46.2,50.2,6.3,50,8,SW,23,33,1002.3
17/02/2019,-21.1,34.4,35.2,11.2,37,4,ENE,29,49,1030.1
18/02/2019,14.4,30.1,39.4,13.6,43,5,S,27,37,1024.6
19/02/2019,12.0,26.8,38.3,5.6,75,2,N,26,42,1015.3
20/02/2019,17.9,35.2,0.8,12.3,65,6,WSW,20,36,1030.9
21/02/2019,-12.6,39.9,25.2,12.9,92,3,SE,28,59,1000.6
22/02/2019,-25.2,40.2,18.8,9.5,70,7,ENE,7,45,1027.6
23/02/2019,-9.8,50.4,11.8,8.1,26,2,SSE,27,41,1013.2
24/02/2019,4.0,32.9,1.1,9.3,47,2,NW,11,49,1022.7
25/02/2019,-0.4,31.6,27.1,4.1,31,1,NNE,21,32,1011.3
26/02/2019,-0.8,28.2,29.5,10.6,52,0,E,3,41,1021.2
27/02/2019,-8.6,40.0,23.7,8.9,9,4,NNE,2,40,1014.6
28/02/2019,-37.1,32.5,50.5,13.2,14,0,SSW,17,54,1020.6
01/03/2019,-13.9,37.5,26.4,9.1,16,6,SSW,29,32,1030.1
02/03/2019,-16.1,45.8,28.2,8.0,20,3,ESE,1,47,1009.3
03/03/2019,-37.0,38.3,38.0,13.3,22,6,W,6,52,1020.7
04/03/2019,13.2,46.6,38.6,4.4,79,1,N,12,54,1020.6
05/03/2019,-17.5,29.5,22.6,5.7,37,6,E,9,59,1000.1
06/03/2019,-18.0,27.1,42.8,10.3,40,4,N,15,42,1019.4
07/03/2019,24.3,28.5,30.6,9.4,89,2,,12,53,1014.2
08/03/2019,-14.6,35.9,28.3,7.3,24,7,,22,42,1017.8
09/03/2019,17.1,31.4,29.4,4.3,70,6,NW,14,44,1025.4
10/03/2019,15.8,46.6,46.9,4.6,14,3,SE,12,47,1021.4
11/03/2019,-11.0,46.7,6.2,7.4,69,7,,16,52,1026.2
12/03/2019,-12.0,39.2,3.4,13.1,88,8,,14,48,1030.6
13/03/2019,24.2,46.7,39.3,5.5,27,8,NNE,15,46,1013.1
14/03/2019,-24.1,35.3,42.3,13.5,74,1,NW,10,52,1004.9
15/03/2019,-38.7,41.9,31.6,10.9,59,3,N,28,54,1022.2
16/03/2019,-10.0,47.2,45.5,7.4,66,7,W,6,47,1014.6
17/03/2019,-3.5,38.6,34.3,11.1,69,3,NW,2,53,1003.1
18/03/2019,-35.2,42.1,10.8,8.4,96,2,ESE,26,55,1000.1
19/03/2019,-13.5,38.3,17.8,11.4,84,6,NNE,29,42,1019.1
20/03/2019,-5.6,49.1,16.9,9.2,69,7,SW,27,56,1011.5
21/03/2019,6.4,29.5,12.0,7.8,32,5,SW,29,48,1018.1
22/03/2019,-4.3,28.0,4.3,10.4,63,4,NNE,0,39,1022.7
23/03/2019,-29.9,40.4,21.4,13.9,41,4,WSW,30,55,1023.2
24/03/2019,5.2,33.5,0.7,4.6,56,0,WNW,28,49,1000.2
25/03/2019,15.7,46.8,3.2,13.0,21,7,N,14,33,1028.2
26/03/2019,-37.9,49.5,47.9,13.2,12,8,SE,11,38,1013.3
27/03/2019,-15.8,33.3,43.8,9.5,40,8,ENE,22,59,1025.4
28/03/2019,0.5,28.9,43.1,8.4,53,7,S,12,50,1005.8
29/03/2019,-25.0,44.6,24.4,11.7,97,7,N,14,34,1000.6
30/03/2019,-29.4,40.7,12.2,11.7,94,4,S,15,50,1002.0
31/03/2019,2.2,43.9,18.8,4.5,1,4,SW,3,50,1021.2
01/04/2019,8.3,38.1,18.3,4.4,59,6,ENE,23,38,1005.3
02/04/2019,-35.3,48.7,22.4,4.9,10,5,ESE,2,50,1013.3
03/04/2019,5.4,36.8,44.2,7.2,32,2,WSW,6,45,1001.9
04/04/2019,6.2,35.7,1.6,13.8,11,8,N,8,40,1011.6
05/04/2019,23.9,28.2,31.7,12.7,13,3,ENE,13,49,1028.8
06/04/2019,-31.4,41.7,38.1,11.6,34,8,,2,45,1006.8
07/04/2019,-11.8,43.1,40.9,4.3,29,6,W,7,51,1020.8
08/04/2019,-11.6,50.1,3.5,10.7,72,3,N,1,44,1002.5
09/04/2019,-6.3,34.9,13.5,8.1,25,2,NNW,9,50,1011.5
10/04/2019,-10.7,44.4,48.7,4.1,17,6,SSE,23,53,1016.3
11/04/2019,-32.1,41.6,12.7,9.1,30,6,N,5,53,1000.1
12/04/2019,-25.3,49.5,32.1,12.6,82,8,,23,35,1004.0
13/04/2019,-39.5,32.9,21.2,13.0,67,4,ESE,19,42,1013.3
14/04/2019,-32.2,45.8,44.9,9.6,94,0,NNW,3,37,1014.8
15/04/2019,-16.9,35.5,16.9,8.0,37,5,W,25,56,1009.0
16/04/2019,-0.4,34.2,47.8,8.1,20,1,SSW,22,60,1005.1
17/04/2019,-11.1,35.5,8.5,6.6,70,2,SE,11,32,1004.0
18/04/2019,4.8,41.3,16.7,10.3,77,0,NW,30,31,1025.2
19/04/2019,-0.4,31.9,14.0,8.2,84,6,SW,4,60,1025.0
20/04/2019,3.8,27.8,24.6,8.0,28,3,SW,4,50,1029.9
21/04/2019,-30.0,39.8,47.5,4.7,68,5,NE,9,40,1011.6
22/04/2019,-27.4,32.5,36.4,5.3,63,5,WNW,29,40,1022.2
23/04/2019,17.2,26.5,22.5,11.4,41,4,SSW,5,40,1020.8
24/04/2019,-10.1,43.1,21.1,12.8,35,0,NNW,23,31,1010.9
25/04/2019,-35.4,46.5,3.4,7.6,30,1,SSW,8,59,1021.4
26/04/2019,25.0,50.9,17.6,13.3,46,0,SSE,18,52,1029.6
27/04/2019,-15.4,29.9,31.2,7.3,67,2,ESE,25,45,1028.6
28/04/2019,13.4,41.0,19.6,9.6,39,6,WNW,9,35,1016.5
29/04/2019,8.7,35.2,2.9,5.4,98,1,NE,14,34,1002.0
30/04/2019,8.7,29.3,22.9,11.0,0,4,SSE,19,51,1019.9
01/05/2019,-1.5,45.2,45.2,10.8,6,8,N,10,36,1015.8
02/05/2019,9.1,26.6,48.8,5.7,62,3,SSW,30,54,1008.3
03/05/2019,-25.4,44.6,27.1,6.8,82,3,NW,10,49,1015.7
04/05/2019,4.5,34.6,27.9,11.8,19,2,,15,36,1001.1
05/05/2019,5.2,36.4,42.1,8.7,13,5,E,19,44,1007.1
06/05/2019,1.7,26.4,32.0,11.4,79,7,SSE,12,56,1024.6
07/05/2019,-0.6,31.7,7.0,6.8,93,7,NNE,18,43,1011.1
08/05/2019,-15.8,36.2,35.9,13.6,42,0,SSE,20,41,1028.5
09/05/2019,-24.1,28.3,43.3,6.2,46,6,E,19,35,1026.8
10/05/2019,-36.9,37.1,34.0,6.9,44,8,SE,30,55,1011.4
11/05/2019,14.4,39.8,13.6,10.6,82,8,NNW,13,37,1008.6
12/05/2019,-30.2,30.8,11.1,13.0,1,6,WSW,20,36,1018.9
13/05/2019,11.9,29.0,21.8,13.4,8,8,S,12,32,1004.0
14/05/2019,7.7,42.6,0.4,4.8,16,2,NE,4,42,1011.1
15/05/2019,-7.3,46.1,49.1,4.3,46,4,N,8,42,1023.3
16/05/2019,20.6,32.6,33.8,9.6,17,8,NE,24,41,1004.9
17/05/2019,-27.5,28.8,23.1,8.9,90,8,NE,7,41,1001.8
18/05/2019,-34.4,38.3,23.6,9.3,74,2,SSE,4,50,1022.2
19/05/2019,-16.5,26.7,39.7,6.0,70,5,,12,44,1002.4
20/05/2019,22.2,45.5,43.2,8.2,49,6,SSE,15,48,1028.9
21/05/2019,4.4,36.1,6.5,4.2,97,6,WSW,29,45,1014.7
22/05/2019,21.2,46.1,50.8,6.8,58,4,ENE,2,60,1003.0
23/05/2019,-17.4,39.7,24.3,9.8,58,0,ENE,2,57,1019.3
24/05/2019,23.1,28.9,26.6,6.8,76,5,NNE,25,46,1003.3
25/05/2019,-16.3,36.4,17.0,5.7,71,1,ESE,5,42,1006.6
26/05/2019,-4.2,35.6,13.8,4.6,34,6,E,6,47,1030.1
27/05/2019,-17.9,37.9,48.7,10.2,53,5,S,9,49,1020.3
28/05/2019,-26.2,43.8,29.6,5.6,27,8,SW,22,40,1027.5
29/05/2019,-38.3,39.0,47.3,8.0,44,0,SSW,7,58,1028.4
30/05/2019,-36.1,37.9,11.9,12.7,74,6,ENE,9,39,1003.3
31/05/2019,23.6,46.4,36.0,11.8,50,0,SW,21,35,1005.7
01/06/2019,7.8,50.4,43.4,9.3,12,7,WNW,11,44,1014.4
02/06/2019,-7.6,43.3,4.7,13.7,14,8,NW,28,53,1025.7
03/06/2019,20.2,39.8,43.4,8.5,0,2,ESE,26,55,1021.9
04/06/2019,-9.0,42.1,27.3,8.9,50,7,,29,36,1027.2
05/06/2019,12.6,47.6,16.7,6.1,32,4,NW,20,40,1008.0
06/06/2019,-21.4,34.0,22.7,13.4,79,5,SW,27,37,1010.7
07/06/2019,8.7,49.6,0.3,13.7,1,1,E,11,41,1005.5
08/06/2019,25.2,47.2,38.7,7.1,59,5,WNW,14,43,1015.4
09/06/2019,-15.3,27.2,43.5,12.4,21,2,E,11,41,1027.3
10/06/2019,10.4,44.3,33.5,9.9,31,3,SW,29,58,1028.8
11/06/2019,-32.5,31.1,7.0,8.4,34,2,ENE,17,38,1018.4
12/06/2019,-18.9,44.1,25.4,11.2,72,0,WNW,19,35,1002.2
13/06/2019,13.4,44.2,44.9,7.3,99,2,WNW,30,36,1028.6
14/06/2019,-35.6,26.8,40.1,8.5,98,6,NW,14,32,1024.4
15/06/2019,24.5,32.8,14.5,7.1,60,2,N,30,41,1010.0
16/06/2019,15.8,49.3,44.3,4.8,61,0,NNE,24,39,1004.5
17/06/2019,19.5,43.2,34.9,11.4,44,5,E,19,31,1026.7
18/06/2019,-36.0,43.9,32.8,12.7,58,0,ENE,8,59,1024.7
19/06/2019,20.0,33.8,2.5,11.7,69,5,ESE,23,50,1023.1
20/06/2019,-12.8,36.4,4.4,10.4,61,5,N,10,45,1025.1
21/06/2019,-24.0,27.7,43.2,13.5,81,0,SW,15,52,1008.5
22/06/2019,-6.2,36.9,20.9,10.5,22,3,NW,7,53,1006.1
23/06/2019,-20.4,43.2,33.1,8.2,6,7,WSW,0,53,1026.7
24/06/2019,-28.7,31.2,45.5,11.4,7,8,S,23,31,1014.8
25/06/2019,-25.5,46.8,3.1,14.0,85,1,E,25,45,1025.6
26/06/2019,-13.4,41.5,2.3,5.3,84,5,NNE,14,51,1009.3
27/06/2019,8.4,48.4,26.9,11.4,100,1,WNW,18,41,1029.8
28/06/2019,-2.2,46.4,5.7,4.3,22,5,SSW,5,53,1026.1
29/06/2019,-31.8,50.0,15.2,7.1,69,6,NNE,0,38,1030.9
30/06/2019,5.7,28.1,1.4,8.3,29,4,E,26,52,1002.6
01/07/2019,21.0,26.2,18.2,13.4,39,1,ESE,29,35,1005.9
02/07/2019,-35.9,37.2,19.1,5.1,71,3,WNW,16,40,1014.0
